CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse(?),Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Parent Folder
C27927,27927,SF-2281-Gold-TS,SF-2281-Gold-TS 180GB Intel20 MLC TSOP 12xJS29F16B08CCMF3,Intel,20,MLC,JS29F16B08CCMF3,TSOP,12,128,5260356,192,180,351651888,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-3L-S,6,0,64512,0,PP-C02573,PP-R02573,1,External,Intel,SF-2281_Board
C27928,27928,SF-2281-Gold-TS,SF-2281-Gold-TS 240GB Intel20 MLC TSOP 16xJS29F16B08CCMF3,Intel,20,MLC,JS29F16B08CCMF3,TSOP,16,128,5260356,256,240,468862128,0,0,0,0,0,0,True,TBD,TBD,2Q-4C-1D-4L-S,6,0,64512,0,PP-C02574,PP-R02574,1,External,Intel,SF-2281_Board
C27929,27929,SF-2281-Gold-TS,SF-2281-Gold-TS 360GB Intel20 MLC TSOP 12xJS29F32B08JCMF3,Intel,20,MLC,JS29F32B08JCMF3,TSOP,12,256,5260369,384,360,703282608,0,0,0,0,0,0,True,TBD,TBD,2Q-8C-1D-3L,6,0,64512,0,PP-C02575,PP-R02575,1,External,Intel,SF-2281_Board
C27930,27930,SF-2281-Gold-TS,SF-2281-Gold-TS 480GB Intel20 MLC TSOP 16xJS29F32B08JCMF3,Intel,20,MLC,JS29F32B08JCMF3,TSOP,16,256,5260369,512,480,937703088,0,0,0,0,0,0,True,TBD,TBD,2Q-8C-1D-4L,6,0,64512,0,PP-C02576,PP-R02576,1,External,Intel,SF-2281_Board
C27931,27931,SF-2281-Gold-TS,SF-2281-Gold-TS-mSATA 80GB Intel20 MLC BGA 3xPF29F32B08NCMF2,Intel,20,MLC,PF29F32B08NCMF2,BGA,3,256,5260369,96,80,156301488,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-3L,6,0,64512,0,PP-C02568,PP-R02568,1,External,Intel,SF-2281_Board
C27932,27932,SF-2281-Gold-TS,SF-2281-Gold-TS 80GB Intel20 MLC TSOP 6xJS29F16B08CCMF1,Intel,20,MLC,JS29F16B08CCMF1,TSOP,6,128,5260356,96,80,156301488,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-3L,6,0,64512,0,PP-C02577,PP-R02577,1,External,Intel,SF-2281_Board
C27933,27933,SF-2281-Gold-TS,SF-2281-Gold-TS 120GB Intel20 MLC TSOP 8xJS29F16B08CCMF3,Intel,20,MLC,JS29F16B08CCMF3,TSOP,8,128,5260356,128,120,234441648,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02578,PP-R02578,1,External,Intel,SF-2281_Board
C27934,27934,SF-2281-Gold-TS,SF-2281-Gold-TS-mSATA 120GB Intel20 MLC BGA 4xPF29F32B08NCMF2,Intel,20,MLC,PF29F32B08NCMF2,BGA,4,256,5260369,128,120,234441648,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02579,PP-R02579,1,External,Intel,SF-2281_Board
C27935,27935,SF-2281-Gold-TS,SF-2281-Gold-TS-NGFF 120GB Intel20 MLC BGA 4xPF29F32B08NCMF2,Intel,20,MLC,PF29F32B08NCMF2,BGA,4,256,5260369,128,120,234441648,0,0,0,0,0,0,True,TBD,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02579,PP-R02579,1,External,Intel,SF-2281_Board
C27936,27936,SF-2281-Gold-TS,SF-2281-Gold-TS-NGFF 120GB Intel20 MLC BGA 2xPF29F64B08PCMF2,Intel,20,MLC,PF29F64B08PCMF2,BGA,2,512,5260344,128,120,234441648,0,0,0,0,0,0,True,TBD,TBD,1Q-4C-1D-4L,6,0,64512,0,PP-C02580,PP-R02580,1,External,Intel,SF-2281_Board
C27937,27937,SF-2281-Gold-Cisco,SF-2281-Gold-Cisco 400GB Toshiba24 eMLC BGA 16xTH58TEG8E2HBA8C,Toshiba,24,eMLC,TH58TEG8E2HBA8C,BGA,16,256,5260369,512,400,781422768,0,0,0,0,0,0,True,TBD,TBD,2Q-8C-1D-4L,6,0,64512,0,PP-C02125,PP-R02125,1,External,Cisco,SF-2281_Board
C27938,27938,SF-2281-Gold,SF-2281-Gold 128GB Toshiba19 MLC Type C BGA 2xTH58TEG9DDJBA89 (RAISE OFF),Toshiba,19,MLC,TH58TEG9DDJBA89,BGA,2,512,5260344,128,128,250069680,0,0,0,0,0,0,False,TBD,TBD,1Q-2C-2D-4L,6,0,64512,0,PP-C02130,PP-R02130,1,External,Gold,SF-2281_Board
C27939,27939,SF-2281-Gold,SF-2281-Gold 64GB Toshiba19 MLC Type C BGA 2xTH58TEG8DDJBA8C (RAISE OFF),Toshiba,19,MLC,TH58TEG8DDJBA8C,BGA,2,256,5260369,64,64,125045424,0,0,0,0,0,0,False,TBD,TBD,1Q-2C-1D-4L,6,0,64512,0,PP-C02129,PP-R02129,1,External,Gold,SF-2281_Board
C27940,27940,SF-2281-Gold-Z05,SF-2281-Gold-Z05 128GB Micron20 MLC BGA 4xMT29F256G08CMCBB (RAISE OFF),Micron,20,MLC,MT29F256G08CMCBB,BGA,4,256,5260369,128,128,250069680,0,0,0,0,0,0,False,TBD,TBD,2Q-2C-1D-4L,6,0,64648,0,PP-C01710,PP-R01710,1,External,Ramaxel,SF-2281_Board
C27941,27941,SF-2281-Gold-Avant-Opal,SF-2281-Gold-Avant-Opal 120GB Toshiba19 MLC BGA 8xTH58TEG7D2JBA4C,Toshiba,19,MLC,TH58TEG7D2JBA4C,BGA,8,128,5260356,128,120,234441648,0,0,0,0,0,0,True,MP3,TBD,2Q-2C-1D-4L,6,0,64512,0,PP-C02147,PP-R02147,1,External,Opal-Avant,SF-2281_Board
