CLI Config ID,Release Config ID,Firmware Type,Title,Flash Vendor,Flash Geometry,Flash Type,Flash Part Number,Package Type,Package Count,Package Density,Package Die Count,Raw Capacity,User Capacity,512 LBA Count,512 Plus DIF LBA Count,520 LBA Count,524 LBA Count,528 LBA Count,4096 LBA Count,4096 Plus DIF LBA Count,Non 512 Sector Size,RAISE ON,Version Demo,Version Release,Topology ID,SATA Speed,Write IOPs,Firmware Fuse,Industrial Features,CLI Build ID,Release Build ID,Valid Flag,Release Status,Firmware Worksheet,Validated,Parent Folder
C25035,25035,SF-2582,SF-2582 25GB Micron34 eMLC BGA 4xMT29E64G08CECBBH1,Micron,34,eMLC,MT29E64G08CECBBH1,BGA,4,64,5260356,32,25,48858768,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-1C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00040,PP-R00040,1,External,Universal,0,SF-2582_Board
C25037,25037,SF-2582,SF-2582 50GB Micron34 eMLC BGA 8xMT29E64G08CECBBH1,Micron,34,eMLC,MT29E64G08CECBBH1,BGA,8,64,5260356,64,50,97696368,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-2C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00042,PP-R00042,1,External,Universal,0,SF-2582_Board
C25039,25039,SF-2582,SF-2582 100GB Micron34 eMLC BGA 16xMT29E64G08CECBBH1,Micron,34,eMLC,MT29E64G08CECBBH1,BGA,16,64,5260356,128,100,195371568,0,0,0,0,0,0,0,True,Beta1,MP2,4Q-2C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00044,PP-R00044,1,External,Universal,0,SF-2582_Board
C25041,25041,SF-2582,SF-2582 50GB Micron34 eMLC BGA 4xMT29E128G08CMCBBH2,Micron,34,eMLC,MT29E128G08CMCBBH2,BGA,4,128,5260369,64,50,97696368,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-2C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00042,PP-R00042,1,External,Universal,0,SF-2582_Board
C25043,25043,SF-2582,SF-2582 100GB Micron34 eMLC BGA 8xMT29E128G08CMCBBH2,Micron,34,eMLC,MT29E128G08CMCBBH2,BGA,8,128,5260369,128,100,195371568,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-4C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00046,PP-R00046,1,External,Universal,0,SF-2582_Board
C25045,25045,SF-2582,SF-2582 200GB Micron34 eMLC BGA 16xMT29E128G08CMCBBH2,Micron,34,eMLC,MT29E128G08CMCBBH2,BGA,16,128,5260369,256,200,390721968,0,0,0,0,0,0,0,True,Beta1,MP2,4Q-4C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00048,PP-R00048,1,External,Universal,0,SF-2582_Board
C25047,25047,SF-2582,SF-2582 100GB Micron34 eMLC BGA 4xMT29E256G08CUCBBH3,Micron,34,eMLC,MT29E256G08CUCBBH3,BGA,4,256,5260344,128,100,195371568,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-2C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00050,PP-R00050,1,External,Universal,0,SF-2582_Board
C25049,25049,SF-2582,SF-2582 200GB Micron34 eMLC BGA 8xMT29E256G08CUCBBH3,Micron,34,eMLC,MT29E256G08CUCBBH3,BGA,8,256,5260344,256,200,390721968,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-4C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00052,PP-R00052,1,External,Universal,0,SF-2582_Board
C25051,25051,SF-2582,SF-2582 400GB Micron34 eMLC BGA 16xMT29E256G08CUCBBH3,Micron,34,eMLC,MT29E256G08CUCBBH3,BGA,16,256,5260344,512,400,781422768,0,0,0,0,0,0,0,True,Beta1,MP2,4Q-4C-2D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00054,PP-R00054,1,External,Universal,0,SF-2582_Board
C25052,25052,SF-2582,SF-2582 50GB Micron25 MLC BGA 8xMT29F64G08CBCABH1,Micron,25,MLC,MT29F64G08CBCABH1,BGA,8,64,5260371,64,50,97696368,0,0,0,0,0,0,0,True,Beta1,MP2,2Q-1C-1D-4L,6,0,D|D,E,F,G,H,I|Enterprise SATA,0,PP-C00078,PP-R00078,1,External,Universal,0,SF-2582_Board
